7.50GHz(盄俶硉),,7.50GHz(勤杅硉)
0.0, 0.93,0.0, -0.61
2.0, 1.00,2.0, 0.00
4.0, 1.00,4.0, -0.03
6.0, 0.99,6.0, -0.08
8.0, 0.99,8.0, -0.07
10.0, 0.99,10.0, -0.11
12.0, 0.98,12.0, -0.15
14.0, 0.98,14.0, -0.21
16.0, 0.97,16.0, -0.26
18.0, 0.96,18.0, -0.36
20.0, 0.95,20.0, -0.46
22.0, 0.94,22.0, -0.55
24.0, 0.93,24.0, -0.65
26.0, 0.92,26.0, -0.72
28.0, 0.90,28.0, -0.88
30.0, 0.88,30.0, -1.06
32.0, 0.87,32.0, -1.23
34.0, 0.85,34.0, -1.44
36.0, 0.83,36.0, -1.58
38.0, 0.81,38.0, -1.83
40.0, 0.79,40.0, -2.08
42.0, 0.77,42.0, -2.31
44.0, 0.75,44.0, -2.53
46.0, 0.73,46.0, -2.75
48.0, 0.70,48.0, -3.04
50.0, 0.68,50.0, -3.30
52.0, 0.67,52.0, -3.52
54.0, 0.65,54.0, -3.81
56.0, 0.63,56.0, -4.04
58.0, 0.61,58.0, -4.31
60.0, 0.59,60.0, -4.55
62.0, 0.58,62.0, -4.77
64.0, 0.56,64.0, -5.04
66.0, 0.55,66.0, -5.20
68.0, 0.53,68.0, -5.43
70.0, 0.52,70.0, -5.68
72.0, 0.51,72.0, -5.90
74.0, 0.50,74.0, -6.07
76.0, 0.48,76.0, -6.29
78.0, 0.48,78.0, -6.45
80.0, 0.47,80.0, -6.62
82.0, 0.46,82.0, -6.77
84.0, 0.45,84.0, -6.88
86.0, 0.45,86.0, -6.97
88.0, 0.45,88.0, -7.01
90.0, 0.44,90.0, -7.08
